class_id,band_1,band_2,band_3,band_4
2,1680,1636,1392,1299
2,1576,1512,1236,1190
2,1535,1487,1205,1166
2,1565,1527,1242,1172
2,1593,1526,1219,1172
2,1526,1493,1220,1160
2,1505,1462,1193,1152
2,1514,1493,1204,1154
2,1388,1404,1237,1143
2,1396,1397,1219,1162
2,1392,1414,1236,1187
2,1462,1441,1237,1178
2,1464,1460,1224,1177
2,1506,1462,1240,1161
2,1424,1353,1199,1175
2,1532,1517,1256,1172
2,1498,1418,1224,1184
2,1402,1387,1218,1146
2,1419,1313,1200,1156
2,1378,1271,1173,1148
2,1381,1278,1195,1162
2,1382,1273,1178,1146
2,1387,1281,1183,1146
2,1403,1306,1188,1154
2,1380,1294,1178,1136
2,1400,1281,1191,1134
2,1391,1292,1178,1136
2,1389,1294,1186,1153
2,1401,1295,1189,1126
2,1337,1240,1142,1130
2,1331,1221,1151,1114
2,1322,1206,1151,1119
2,1335,1232,1157,1121
2,1393,1458,1246,1171
2,1402,1428,1229,1174
2,1496,1476,1232,1186
2,1411,1456,1239,1156
2,1468,1448,1218,1168
1,1461,1583,1382,1416
1,1494,1689,1415,1396
1,1644,1800,1508,1348
1,1462,1578,1393,1521
1,1461,1583,1382,1416
1,1436,1554,1324,1330
1,1520,1690,1494,1849
1,1520,1574,1318,1297
1,1510,1544,1287,1224
1,1505,1544,1310,1303
1,1501,1520,1275,1250
0,1772,1892,1325,1231
0,1802,1880,1331,1226
1,1454,1404,1237,1195
1,1438,1407,1245,1200
1,1458,1416,1240,1212
1,1466,1399,1215,1187
1,1488,1436,1218,1179
1,1493,1436,1248,1227
0,1964,2200,1712,1314
0,1914,2092,1659,1362
0,1746,1792,1292,1237
0,1849,1971,1407,1262
0,1726,1836,1354,1249
0,1709,1794,1296,1224
1,1568,1626,1290,1262
1,1634,1693,1290,1245
1,1494,1566,1328,1342
0,1819,1969,1427,1240
0,1983,2200,1686,1274
0,1974,2202,1778,1335
1,1806,1959,1612,1449
1,1834,2034,1633,1367
0,2062,2366,2004,1435
0,2044,2346,2056,1435
0,2024,2224,1708,1328
1,1788,2022,1574,1334
1,1982,2116,1900,2038
1,1906,2112,1816,1836
1,1975,2214,1947,1809
2,1521,1482,1258,1249
1,1745,1790,1507,1475
1,1590,1666,1431,1408
1,1590,1696,1502,1458
1,1628,1717,1532,1624
1,1796,2058,2044,2592
1,1636,1838,1662,1866
1,1738,2018,1878,2368
0,1904,2036,1469,1310
0,1832,1972,1472,1328
0,1880,2072,1538,1357
0,1910,2130,1586,1405
1,1547,1556,1266,1234
1,1540,1560,1279,1275
1,1499,1461,1252,1212
1,1458,1417,1225,1199
2,1446,1381,1202,1174
2,1465,1381,1213,1179
2,1492,1407,1208,1169
2,1466,1365,1202,1180
2,1472,1383,1207,1167
1,1336,1343,1282,1283
1,1318,1361,1298,1332
1,1358,1442,1295,1363
2,1392,1322,1176,1127
2,1416,1358,1166,1128
2,1394,1357,1179,1149
2,1390,1315,1162,1133
2,1424,1385,1183,1144
2,1461,1438,1194,1129
2,1413,1346,1166,1138
1,1349,1382,1253,1194
2,1343,1359,1199,1159
2,1426,1440,1241,1158
1,1386,1476,1272,1183
1,1382,1479,1309,1207
1,1361,1479,1292,1204
1,1360,1366,1218,1160
0,1675,1878,1414,1163
0,1601,1824,1396,1172
0,1654,1828,1375,1165
0,1744,2001,1708,1219
0,1712,1987,1717,1294
0,1748,2004,1653,1205
0,1734,1966,1565,1189
0,1692,1992,1734,1222
1,1396,1485,1376,1396
1,1436,1536,1378,1304
1,1334,1418,1287,1280
1,1397,1457,1305,1241
1,1413,1510,1282,1166
1,1422,1497,1274,1163
1,1369,1418,1270,1188
1,1329,1352,1253,1218
1,1326,1362,1244,1185
1,1321,1335,1204,1161
1,1358,1417,1280,1204
1,1352,1389,1287,1244
1,1346,1363,1221,1169
0,1892,2021,1481,1541
1,1512,1503,1312,1314
0,1816,1960,1507,1464
0,1806,1918,1429,1393
0,1755,1866,1374,1359
1,1654,1664,1479,1540
1,1624,1640,1421,1449
0,1810,1913,1388,1398
0,1888,2010,1532,1487
2,1602,1592,1262,1232
2,1580,1574,1257,1217
2,1564,1560,1254,1220
2,1540,1494,1249,1232
1,1525,1492,1276,1255
1,1414,1442,1350,1322
1,1660,1786,1693,1950
1,1741,1867,1776,2030
1,1570,1493,1310,1342
1,1522,1488,1332,1366
2,1546,1524,1245,1208
2,1546,1504,1243,1195
2,1568,1538,1239,1185
2,1577,1528,1240,1202
2,1572,1498,1239,1210
2,1517,1470,1240,1233
0,1718,1750,1330,1345
0,1670,1711,1290,1313
0,1738,1834,1400,1411
0,1715,1763,1322,1326
2,1570,1568,1242,1212
0,1567,1692,1305,1247
0,1938,2286,2152,1744
0,1764,1992,1638,1333
0,1644,1866,1478,1292
0,1805,2096,1704,1332
0,1842,2122,1842,1430
0,1912,2194,2044,1753
0,1908,2232,2074,1634
0,1902,2202,1914,1480
0,1888,2196,1952,1470
0,1816,2118,1714,1300
0,1922,2220,1875,1467
0,2011,2262,2002,1606
0,2006,2328,2198,1969
0,1952,2282,2016,1660
0,1879,2244,1881,1443
0,1891,2262,1901,1448
0,2002,2294,2164,1886
0,1918,2216,1954,1547
0,1946,2222,2004,1574
0,1908,2236,1976,1450
0,1902,2272,1928,1458
0,2154,2472,2138,1659
0,2052,2316,2324,2013
0,1968,2278,2202,1846
0,1986,2278,2150,1714
0,2124,2382,2120,1714
1,1468,1526,1378,1469
1,1472,1501,1260,1255
1,1501,1550,1291,1273
1,1450,1489,1290,1285
1,1461,1481,1328,1346
1,1478,1516,1257,1263
1,1502,1528,1288,1292
1,1588,1662,1364,1379
1,1524,1572,1239,1238
0,1820,1934,1380,1277
0,1808,1997,1450,1312
0,1884,2092,1532,1264
0,1761,1882,1298,1272
0,1724,1799,1244,1228
1,1550,1554,1229,1217
1,1552,1696,1438,1440
1,1680,1838,1570,1460
1,1577,1693,1473,1408
1,1481,1578,1360,1403
1,1456,1548,1393,1556
1,1451,1548,1360,1470
1,1456,1518,1367,1431
1,1486,1515,1322,1324
1,1424,1466,1299,1310
1,1434,1487,1294,1306
1,1446,1538,1355,1360
1,1443,1507,1295,1305
1,1462,1526,1292,1284
1,1445,1430,1214,1188
1,1432,1420,1223,1201
1,1452,1427,1234,1213
1,1464,1490,1300,1342
1,1466,1496,1286,1290
1,1458,1498,1264,1241
1,1474,1520,1344,1356
1,1448,1518,1318,1344
1,1570,1620,1236,1218
0,1730,1783,1251,1236
0,1718,1792,1274,1258
0,1691,1742,1245,1217
0,1676,1740,1256,1233
0,1726,1778,1268,1246
0,1720,1716,1268,1220
0,1794,1870,1295,1262
0,1822,1868,1284,1252
0,1732,1792,1256,1235
0,1903,2132,1600,1278
1,1637,1792,1366,1274
1,1426,1384,1211,1207
1,1432,1414,1232,1193
1,1439,1388,1214,1210
0,1830,2002,1356,1247
0,1862,2060,1434,1251
0,1756,1888,1308,1244
1,1429,1448,1224,1209
1,1516,1524,1245,1210
0,1862,2024,1410,1258
0,1800,1918,1316,1228
0,1764,1854,1286,1206
0,1789,1922,1314,1229
2,1527,1483,1194,1172
2,1499,1466,1208,1182
2,1499,1456,1208,1184
2,1510,1482,1209,1164
2,1536,1493,1200,1185
2,1479,1460,1200,1198
2,1528,1486,1205,1178
2,1548,1510,1214,1177
1,1470,1406,1239,1246
0,1718,1761,1418,1516
0,1664,1695,1356,1336
0,1778,1936,1510,1358
1,1449,1446,1330,1340
1,1463,1486,1336,1324
1,1492,1536,1321,1292
1,1504,1508,1352,1372
1,1485,1504,1321,1280
1,1452,1420,1258,1254
1,1462,1508,1309,1262
1,1479,1441,1283,1254
1,1453,1446,1304,1310
1,1436,1413,1288,1286
1,1474,1480,1309,1230
1,1503,1526,1276,1232
1,1506,1501,1274,1227
1,1435,1466,1307,1283
1,1556,1580,1377,1318
1,1506,1564,1333,1304
1,1452,1480,1298,1278
1,1420,1417,1290,1263
1,1484,1504,1314,1246
1,1530,1517,1317,1275
0,1727,1770,1268,1230
0,1720,1767,1276,1234
0,1780,1852,1343,1353
0,1869,1952,1352,1306
0,1788,1845,1324,1295
0,1760,1817,1286,1233
0,1890,2068,1470,1262
0,1907,2030,1453,1258
0,1862,1960,1376,1222
0,1821,1955,1394,1272
0,1697,1720,1263,1222
1,1422,1512,1289,1215
1,1447,1576,1301,1206
0,1702,1930,1440,1234
0,1772,2084,1764,1296
0,1877,2204,1903,1558
0,1738,2021,1742,1388
1,1441,1578,1313,1236
1,1448,1520,1278,1213
1,1434,1524,1259,1214
1,1453,1505,1285,1212
1,1493,1624,1368,1260
1,1467,1651,1356,1281
0,1718,1917,1414,1210
0,1745,1975,1458,1206
0,1726,2006,1492,1200
0,1756,2068,1655,1312
1,1602,1838,1497,1282
1,1530,1633,1340,1241
